taxonID,scientificName,taxonRank,threatStatus,kingdom,phylum,class,order,family,establishmentMeans,scientific_std,matched_any,matched_grid10,matched_grid50,n_grids
urn:lsid:dyntaxa.se:Taxon:1519,Spongipellis spumeus,species,NT,Fungi,Basidiomycota,Agaricomycetes,Polyporales,"Polyporales, genera incertae sedis",native,spongipellis spumeus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:34417,Spongipellis spumeus,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,"Polyporales, genera incertae sedis","",spongipellis spumeus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:152827,Spongipellis undosus,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Dacryobolaceae,"",spongipellis undosus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:331976,Spongiporus balsameus,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Dacryobolaceae,"",spongiporus balsameus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:332012,Spongiporus cerifluus,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Dacryobolaceae,"",spongiporus cerifluus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:332092,Spongiporus guttulatus,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Dacryobolaceae,"",spongiporus guttulatus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:399471,Spongiporus subvermisporus,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Gelatoporiaceae,"",spongiporus subvermisporus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:152831,Spongiporus undosus,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Dacryobolaceae,"",spongiporus undosus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:284315,Spongitis calcarea,species,"",Plantae,Rhodophyta,Florideophyceae,Corallinales,Lithothamniaceae,"",spongitis calcarea,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:261241,Sporledera palustris,species,"",Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,"",sporledera palustris,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:15482,Sporochnus villosus,species,"",Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Arthrocladiaceae,"",sporochnus villosus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89952,Spragueola vitellina,species,"",Fungi,Ascomycota,Neolectomycetes,Neolectales,Neolectaceae,"",spragueola vitellina,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:101815,Spuleria flavicaput,species,VU,Animalia,Arthropoda,Insecta,Lepidoptera,Parametriotidae,native,spuleria flavicaput,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:365817,Squalus galeus,species,"",Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,"",squalus galeus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:366604,Squalus microcephalus,species,"",Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,"",squalus microcephalus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:366595,Squalus nasus,species,"",Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,"",squalus nasus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:366598,Squalus spinax,species,"",Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,"",squalus spinax,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:1520,Squamanita contortipes,species,VU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,native,squamanita contortipes,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:94158,Squamanita stangliana,species,"",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,"",squamanita stangliana,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:434118,Squamanita strangliana,species,"",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,"",squamanita strangliana,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:257114,Squamarina degelii,species,EN,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Squamarinaceae,native,squamarina degelii,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:77765,Stachys betonica,species,"",Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,"",stachys betonica,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:126663,Staphylinus pubescens,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,"",staphylinus pubescens,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:106405,Staphylinus siculus,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,"",staphylinus siculus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:126662,Staphylinus winkleri,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,"",staphylinus winkleri,FALSE,FALSE,FALSE,0
