taxonID,scientificName,taxonRank,threatStatus,scientific_std,matched_any,matched_grid10,matched_grid50
urn:lsid:dyntaxa.se:Taxon:231978,Hieracium remanentiforme,species,EN,hieracium remanentiforme,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:232001,Hieracium silboënse,species,VU,hieracium silboënse,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:267059,Hieracium subaustrinum,species,VU,hieracium subaustrinum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:231454,Hieracium toerense,species,CR,hieracium toerense,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:101078,Holcopogon bubulcellus,species,EN,holcopogon bubulcellus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:2725,Hygrohypnum cochlearifolium,species,VU,hygrohypnum cochlearifolium,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:813,Hygrohypnum norvegicum,species,VU,hygrohypnum norvegicum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:815,Hygrohypnum subeugyrium,species,VU,hygrohypnum subeugyrium,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:820,Hygrophorus calophyllus,species,EN,hygrophorus calophyllus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:822,Hygrophorus gliocyclus,species,VU,hygrophorus gliocyclus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:827,Hygrophorus poëtarum,species,VU,hygrophorus poëtarum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:4427,Hymenochaetopsis corrugata,species,VU,hymenochaetopsis corrugata,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:101110,Hymenophorus doublieri,species,EN,hymenophorus doublieri,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:860,Hypochnicium cymosum,species,VU,hypochnicium cymosum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:232623,Hypoglossum hypoglossoides,species,VU,hypoglossum hypoglossoides,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:101130,Hypulus bifasciatus,species,VU,hypulus bifasciatus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:890,Isopterygiopsis alpicola,species,EN,isopterygiopsis alpicola,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:102285,Isorhipis marmottani,species,VU,isorhipis marmottani,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:846,Kneiffiella alienata,species,VU,kneiffiella alienata,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:106461,Kyklioacalles roboris,species,VU,kyklioacalles roboris,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:233218,Lampronia standfussiella,species,VU,lampronia standfussiella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:249167,Leptothorax goesswaldi,species,EN,leptothorax goesswaldi,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:102515,Levipalpus hepatariella,species,VU,levipalpus hepatariella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:101212,Limenitis camilla,species,EN,limenitis camilla,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:983,Lobaria amplissima,species,CR,lobaria amplissima,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:986,Lobaria virens,species,EN,lobaria virens,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:217890,Lophelia pertusa,species,CR,lophelia pertusa,FALSE,FALSE,FALSE
