grid,eeacellcode,last_ym,staleness_months,total_occurrences,priority_reason
grid10km,10kmE484N397,1992-04-01,405,1,Not sampled in 33.8 years
grid10km,10kmE488N405,1992-04-01,405,1,Not sampled in 33.8 years
grid10km,10kmE488N404,1992-05-01,404,2,Not sampled in 33.7 years
grid10km,10kmE495N399,1992-05-01,404,1,Not sampled in 33.7 years
grid10km,10kmE486N403,1992-05-01,404,1,Not sampled in 33.7 years
grid10km,10kmE443N356,1992-06-01,403,2,Not sampled in 33.6 years
grid10km,10kmE444N358,1992-06-01,403,4,Not sampled in 33.6 years
grid10km,10kmE459N356,1992-06-01,403,1,Not sampled in 33.6 years
grid10km,10kmE444N366,1992-06-01,403,4,Not sampled in 33.6 years
grid10km,10kmE455N354,1992-06-01,403,1,Not sampled in 33.6 years
grid10km,10kmE440N364,1992-06-01,403,3,Not sampled in 33.6 years
grid10km,10kmE439N362,1992-06-01,403,1,Not sampled in 33.6 years
grid10km,10kmE442N364,1992-06-01,403,1,Not sampled in 33.6 years
grid10km,10kmE489N414,1992-06-01,403,2,Not sampled in 33.6 years
grid10km,10kmE477N390,1992-07-01,402,1,Not sampled in 33.5 years
grid10km,10kmE484N404,1992-08-01,401,9,Not sampled in 33.4 years
grid10km,10kmE449N353,1992-09-01,400,1,Not sampled in 33.3 years
grid10km,10kmE536N467,1992-09-01,400,1,Not sampled in 33.3 years
grid10km,10kmE485N443,1992-09-01,400,1,Not sampled in 33.3 years
grid10km,10kmE385N459,1992-10-01,399,1,Not sampled in 33.2 years
grid10km,10kmE475N366,1992-12-01,397,1,Not sampled in 33.1 years
grid10km,10kmE435N357,1993-01-01,396,1,Not sampled in 33 years
grid10km,10kmE489N406,1993-03-01,394,1,Not sampled in 32.8 years
grid10km,10kmE488N397,1993-03-01,394,1,Not sampled in 32.8 years
grid10km,10kmE491N413,1993-03-01,394,1,Not sampled in 32.8 years
grid10km,10kmE492N403,1993-03-01,394,2,Not sampled in 32.8 years
grid10km,10kmE484N394,1993-03-01,394,23,Not sampled in 32.8 years
grid10km,10kmE486N400,1993-04-01,393,1,Not sampled in 32.8 years
grid10km,10kmE495N401,1993-04-01,393,1,Not sampled in 32.8 years
grid10km,10kmE484N395,1993-04-01,393,11,Not sampled in 32.8 years
grid10km,10kmE479N393,1993-04-01,393,2,Not sampled in 32.8 years
grid10km,10kmE496N402,1993-04-01,393,1,Not sampled in 32.8 years
grid10km,10kmE487N411,1993-04-01,393,1,Not sampled in 32.8 years
grid10km,10kmE490N394,1993-04-01,393,3,Not sampled in 32.8 years
grid10km,10kmE488N412,1993-04-01,393,1,Not sampled in 32.8 years
grid10km,10kmE442N358,1993-06-01,391,3,Not sampled in 32.6 years
grid10km,10kmE445N352,1993-06-01,391,1,Not sampled in 32.6 years
grid10km,10kmE441N370,1993-06-01,391,1,Not sampled in 32.6 years
grid10km,10kmE441N448,1993-06-01,391,191,Not sampled in 32.6 years
grid10km,10kmE441N357,1993-07-01,390,2,Not sampled in 32.5 years
grid10km,10kmE438N362,1993-07-01,390,1,Not sampled in 32.5 years
grid10km,10kmE448N351,1993-08-01,389,2,Not sampled in 32.4 years
grid10km,10kmE452N472,1993-08-01,389,38,Not sampled in 32.4 years
grid10km,10kmE475N388,1993-09-01,388,1,Not sampled in 32.3 years
grid10km,10kmE483N397,1993-09-01,388,1,Not sampled in 32.3 years
grid10km,10kmE488N408,1993-09-01,388,1,Not sampled in 32.3 years
grid10km,10kmE537N404,1993-12-01,385,1,Not sampled in 32.1 years
grid10km,10kmE493N410,1994-01-01,384,1,Not sampled in 32 years
